Penalty Year,Agency Short,Action Type,Agency,Level of Government,Penalty Amount Adjusted For Eliminating Multiple Counting,Parent Short,Case ID,Civil/Criminal,Company,Court,Current Parent Company,Current Parent HQ Country,Current Parent HQ State,Current Parent ISIN,Current Parent Major Industry,Current Parent Ownership Structure,Current Parent Specific Industry,Current Parent Stock Ticker,Description,Facility Address,Facility City,Facility County,Facility Name,Facility State,Facility Zip,Info Source,Lawsuit Resolution,NAICS Code,NAICS Translation,Notes,Offense Group,Original System ID,PACER Link,Parent at the Time of the Penalty Announcement,Penalty Amount,Penalty Amount Adjusted For Eliminating Multiple Counting (Primary Offense),Penalty Date,Primary Offense,Private Litigation Case Title,Prosecution Agreement,Recap of Ownership Changes,Secondary Offense,Subtraction From Penalty Amount to Avoid Double Counting
2000,SEC/FINRA,agency action,Securities and Exchange Commission,federal,45000000,MS,,civil,Salomon Smith Barney Inc.,,Morgan Stanley,USA,New York,US6174464486,financial services,publicly traded,financial services,MS,The SEC brought and settled civil administrative fraud charges against ten Wall Street and regional brokerage firms for overcharging municipalities for government securities in a practice commonly known as yield burning.,,,,,,,https://www.sec.gov/news/press/2000-45.txt,,,,,financial offenses,,,Citigroup,45000000,80991516314,4/6/2000,investor protection violation,,,Morgan Stanley bought Salomon Smith Barney in 2009,securities issuance or trading violation,0
2000,SEC/FINRA,agency action,Securities and Exchange Commission,federal,6680000,UBS,,civil,Warburg Dillon Read LLC,,UBS,Switzerland,,CH0244767585,financial services,publicly traded,banking & securities,NYSE: UBS,The SEC brought and settled civil administrative fraud charges against ten Wall Street and regional brokerage firms for overcharging municipalities for government securities in a practice commonly known as yield burning.,,,,,,,https://www.sec.gov/news/press/2000-45.txt,,,,,financial offenses,,,UBS,6680000,80991516314,4/6/2000,investor protection violation,,,,securities issuance or trading violation,0
2000,Other Federal,agency action,Employee Benefits Security Administration,federal,30000000,Wells,,civil,"Wachovia National Bank, N.A.",,Wells Fargo,USA,California,US9497461015,financial services,publicly traded,banking,WFC,,,,,,,,https://www.dol.gov/newsroom/releases/ebsa/ebsa20000606,,,,,employment-related offenses,,,Wachovia Corporation,30000000,2695277092,6/6/2000,benefit plan administrator violation,,,Wells Fargo bought Wachovia in 2008.,,0
2000,SEC/FINRA,agency action,Securities and Exchange Commission,federal,408931,Wells,,civil,"First Union Securities, Inc.",,Wells Fargo,USA,California,US9497461015,financial services,publicly traded,banking,WFC,,,,,,,,https://www.sec.gov/litigation/admin/34-43478.htm,,,,,financial offenses,,,First Union,408931,80991516314,10/24/2000,investor protection violation,,,"In 2001 First Union merged with Wachovia, which was acquired by Wells Fargo in 2008",,0
2000,SEC/FINRA,agency action,Securities and Exchange Commission,federal,476702,MS,,civil,Dean Witter Reynolds Inc.,,Morgan Stanley,USA,New York,US6174464486,financial services,publicly traded,financial services,MS,,,,,,,,https://www.sec.gov/litigation/admin/34-43215.htm,,,,,financial offenses,,,Morgan Stanley,476702,80991516314,8/28/2000,investor protection violation,,,,,0
2000,SEC/FINRA,agency action,Securities and Exchange Commission,federal,20000,Oppenheimer Holdings,,civil,"Fahnestock & Co., Inc.",,Oppenheimer Holdings,USA,New York,US6837971042,financial services,publicly traded,financial services,OPY,,,,,,,,https://www.sec.gov/litigation/admin/34-43054.htm,,,,,financial offenses,,,Fahnestock Viner,20000,80991516314,7/19/2000,investor protection violation,,,"After acquiring CIBC Oppenheimer, Fahnestock changed its name to Oppenheimer Holdings in 2003",,0
2000,SEC/FINRA,agency action,Securities and Exchange Commission,federal,100000,Penn Mutual,,civil,Janney Montgomery Scott LLC,,Penn Mutual,USA,Pennsylvania,,financial services,mutual,insurance and investment management,,,,,,,,,https://www.sec.gov/litigation/admin/34-43050.htm,,,,,financial offenses,,,Penn Mutual,100000,80991516314,7/18/2000,investor protection violation,,,,,0
2000,SEC/FINRA,agency action,Securities and Exchange Commission,federal,950000,BNYM,,civil,Dreyfus Corporation,,Bank of New York Mellon,USA,New York,US0640581007,financial services,publicly traded,banking,BK,,,,,,,,https://www.sec.gov/litigation/admin/33-7857.htm,,,,,financial offenses,,,Mellon Financial Corp.,950000,80991516314,5/10/2000,investor protection violation,,,In 2007 Bank of New York merged with Mellon Financial Corp. to form Bank of New York Mellon,,0
2000,State,agency action,New York Attorney General,state,2000000,BNYM,,civil,Dreyfus Corporation,,Bank of New York Mellon,USA,New York,US0640581007,financial services,publicly traded,banking,BK,Dreyfus Corporation agreed to settle allegations that it failed to inform investors about the risks associated with one of its mutual funds.,,,,,New York,,https://web.archive.org/web/20101116032418/http://www.ag.ny.gov/media_center/2000/may/may10a_00.html,,,,,financial offenses,,,Mellon Financial Corp.,2000000,80991516314,5/10/2000,investor protection violation,,,In 2007 Bank of New York merged with Mellon Financial Corp. to form Bank of New York Mellon,,0
2000,State,agency action,Massachusetts Attorney General,state,1200000,MetLife,,civil,Metropolitan Life Insurance Co.,,MetLife,USA,New York,US59156R1086,financial services,publicly traded,insurance,MET,Agreed to pay $1.2 million in settlement of allegations its life insurance sales practices were unfair and deceptive.,,,,,Massachusetts,,https://web.archive.org/web/20010701184838/http://www.ago.state.ma.us/metlife3.asp,,,,,consumer-protection-related offenses,,,MetLife,1200000,29182483586,6/8/2000,consumer protection violation,,,,,0
2000,State,agency action,Massachusetts Attorney General,state,1840000,Zurich,,civil,Metropolitan Property and Casualty Insurance Co.,,Zurich Insurance,Switzerland,,CH0011075394,financial services,publicly traded,insurance,,"Agreed to pay $1.8 million in restitution and a $40,000 donation to the Attorney General Aid Fund in settlement of allegations it did not provide the legally required discount for automobile insurance policyholders who had passive restraint systems (airbags and automatic seatbelts) in their cars.",,,,,Massachusetts,,https://web.archive.org/web/20011228011055/http://www.ago.state.ma.us/repay.asp,,,,,consumer-protection-related offenses,,,MetLife,1840000,29182483586,3/23/2000,consumer protection violation,,,Zurich Insurance acquired Metropolitan Group Property and Casualty in 2021.,,0
2000,State,agency action,Connecticut Attorney General,state,250000,Dai-ichi Life,,civil,MONY Life Insurance Co.,,Dai-ichi Life,Japan,,JP3476480003,financial services,publicly traded,insurance,,"MONY Life Insurance Company, successor to Mutual Life Insurance Company of New York, agreed to pay $250,000 in fines and restitution of the premium plus interest to the organizations involved, in settlement of allegations its agents misrepresented the costs and benefits of a Financial Security Plan it sold to several Connecticut towns.",,,,,Connecticut,,https://web.archive.org/web/20100603135403/http://www.ct.gov/ag/cwp/view.asp?A=1775&Q=282962,,,,,consumer-protection-related offenses,,,MONY Group,250000,29182483586,11/14/2000,consumer protection violation,,,MONY Group was acquired by AXA Financial in 2004. Protective Life Corp. acquired MONY from AXA in 2013. Protective Life was acquired by Dai-Ichi Life in 2015.,,0
2000,State,agency action,California Attorney General,state,305500000,JPMC,,civil,Providian Financial Corp.,,JPMorgan Chase,USA,New York,US46625H1005,financial services,publicly traded,banking & securities,NYSE: JPM,Providian Financial agreed to refund more than $300 million to customers and pay $5.5 million in civil penalties to settle allegations of deceptive credit card marketing practices and improper fees and charges.,,,,,California,,https://www.oag.ca.gov/news/press-releases/providian-refund-300-million-consumers-over-alleged-abusive-credit-card,,,,,consumer-protection-related offenses,,,Providian Financial Corp.,305500000,29182483586,6/28/2000,consumer protection violation,,,"Providian was bought in 2005 by Washington Mutual, which was acquired by JPMorgan Chase in 2008",,0
2000,State,agency action,Connecticut Attorney General,state,1600000,JPMC,,civil,Providian Financial Corp.,,JPMorgan Chase,USA,New York,US46625H1005,financial services,publicly traded,banking & securities,NYSE: JPM,"Providian agreed to pay $1.6 million in penalties, costs and fees, plus full customer restitution, in settlement of allegations it charged for unauthorized services and inadequately disclosed fees when providing credit cards.",,,,,Connecticut,,https://web.archive.org/web/20100603134743/http://www.ct.gov/ag/cwp/view.asp?A=1775&Q=282972,,,,,consumer-protection-related offenses,,,Providian Financial Corp.,1600000,29182483586,6/19/2000,consumer protection violation,,,"Providian was bought in 2005 by Washington Mutual, which was acquired by JPMorgan Chase in 2008",,0
2000,State,agency action,Texas Attorney General,state,3100000,State Farm,,civil,State Farm,,State Farm Insurance,USA,Illinois,,financial services,mutual,insurance,,,,,,,Texas,,"Attorney General settles with auto insurer, Associated Press, November 2, 2000 (via Nexis)",,,,,consumer-protection-related offenses,,,State Farm Insurance,3100000,29182483586,11/2/2000,consumer protection violation,,,,,0
2000,State,agency action,Massachusetts Attorney General,state,1000000,Assurant,,civil,Union Security Life Insurance Co,,Assurant,USA,New York,US04621X1081,financial services,publicly traded,insurance,AIZ,Union Security Life Insurance Co. agreed to pay about $1 million to reimburse credit insurance policyholders in settlement of allegations the prices were too high for the coverage offered.,,,,,Massachusetts,,https://web.archive.org/web/20020111224658/http://www.ago.state.ma.us/credins.asp,,,,,consumer-protection-related offenses,,,Fortis N.V.,1000000,29182483586,12/28/2000,consumer protection violation,,,In 2004 Fortis spun off its insurance business as Assurant,,0
2000,State,agency action,Multistate Attorneys General Case,state,2000000,US Bank,,civil,US Bank,,U.S. Bancorp,USA,Minnesota,US9029733048,financial services,publicly traded,banking,USB,US Bank agreed to pay $2 million to settle multistate litigation alleging undisclosed sharing of customer information with third parties for marketing purposes.,,,,,,,https://www.oag.ca.gov/news/press-releases/attorney-general-bill-lockyer-announces-multi-state-settlement-us-bank-protect,,,,,consumer-protection-related offenses,,,U.S. Bancorp,2000000,395057879,9/22/2000,privacy violation,,,,,0
2000,State,agency action,Arizona Corporation Commission,state,125000,Ameriprise,,civil,American Express Financial Advisors,,Ameriprise Financial,USA,Minnesota,US03076C1062,financial services,publicly traded,financial services,AMP,,,,,,Arizona,,https://azcc.gov/divisions/securities/Enforcement/Orders/2000/apr03b-00.pdf,,,,,financial offenses,,,American Express,125000,80991516314,4/3/2000,investor protection violation,,,In 2005 American Express spun off its financial advisory business as Amerprise Financial,financial institution supervision failures,0
2000,State,agency action,Colorado Division of Insurance,state,25000,Stewart Information Services,,civil,Stewart Title Guaranty Co.,,Stewart Information Services,USA,Texas,US8603721015,financial services,publicly traded,financial services,STC,Market Conduct Examination,,,,,Colorado,,https://drive.google.com/file/d/0B_UoCf17OVmWckl5Rlc1SXdoM2c/view,,,,,consumer-protection-related offenses,,,Stewart Information Services,25000,2351230555,10/16/2000,insurance violation,,,,,0
2000,State,agency action,Colorado Division of Insurance,state,20750,Fidelity National Financial,,civil,Commonwealth Land Title Insurance Co.,,Fidelity National Financial,USA,Florida,US31620R3030,financial services,publicly traded,insurance,FNF,Market Conduct Examination,,,,,Colorado,,https://drive.google.com/file/d/0B_UoCf17OVmWa181am1jLXAyZ1E/view,,,,,consumer-protection-related offenses,,,Commonwealth Land Title Insurance Co.,20750,2351230555,12/22/2000,insurance violation,,,Fidelity National Financial acquired Commwealth Land Title Insurance Co. in 2008,,0
2000,State,agency action,Florida Office of Financial Regulation,state,12750,Allstate,,civil,American Heritage Life Insurance Co.,,Allstate,USA,Illinois,US0200021014,financial services,publicly traded,insurance,ALL,,,,,,Florida,,https://www.floir.com/siteDocuments/LH-Exams/Amer_Heritage_Life_IC_33568-99-CO.pdf,,,,,consumer-protection-related offenses,,,Allstate,12750,2351230555,3/27/2000,insurance violation,,,,,0
2000,State,agency action,Florida Office of Financial Regulation,state,8750,Dai-ichi Life,,civil,Protective Life Insurance Co.,,Dai-ichi Life,Japan,,JP3476480003,financial services,publicly traded,insurance,,,,,,,Florida,,https://www.floir.com/siteDocuments/LH-Exams/Protective_Life_IC_34654-00-CO.pdf,,,,,consumer-protection-related offenses,,,Protective Life Insurance Company,8750,2351230555,6/22/2000,insurance violation,,,Dai-ichi Life acquired Protective Life in 2015.,,0
2000,State,agency action,Florida Office of Financial Regulation,state,5500,CNO Financial,,civil,Conseco Senior Health Insurance Co.,,CNO Financial,USA,Indiana,US12621E1038,financial services,publicly traded,insurance,CNO,,,,,,Florida,,https://www.floir.com/siteDocuments/LH-Exams/Conseco_Senior_Health_IC_35190-00-CO.pdf,,,,,consumer-protection-related offenses,,,CNO Financial,5500,2351230555,9/21/2000,insurance violation,,,CNO Financial was known as Conseco Inc. until May 2010.,,0
2000,State,agency action,Florida Office of Financial Regulation,state,14000,Allianz,,civil,Allianz Life Insurance Company of North America,,Allianz,Germany,,DE0008404005,financial services,publicly traded,insurance,,,,,,,Florida,,https://www.floir.com/siteDocuments/LH-Exams/Allianz_Life_IC_NA_34393-00-CO.pdf,,,,,consumer-protection-related offenses,,,Allianz,14000,2351230555,11/3/2000,insurance violation,,,,,0
2000,State,agency action,Florida Office of Financial Regulation,state,5625,CNO Financial,,civil,Conseco Life Insurance Co.,,CNO Financial,USA,Indiana,US12621E1038,financial services,publicly traded,insurance,CNO,,,,,,Florida,,https://www.floir.com/siteDocuments/LH-Exams/Conseco_Life_IC_35900-00-CO.pdf,,,,,consumer-protection-related offenses,,,CNO Financial,5625,2351230555,11/14/2000,insurance violation,,,CNO Financial was known as Conseco Inc. until May 2010.,,0
2000,State,agency action,Kansas Insurance Department,state,23400,AIG,,civil,American General Life and Accident Insurance Co.,,American International Group,USA,New York,US0268747849,financial services,publicly traded,insurance,NYSE: AIG,,,,,,Kansas,,https://insurance.ks.gov/department/LegalIssues/orders/2000/AmericanGeneralLife.pdf,,,,,consumer-protection-related offenses,,,American International Group,23400,2351230555,6/22/2000,insurance violation,,,,,0
2000,State,agency action,Kansas Insurance Department,state,10375,AIG,,civil,New Hampshire Insurance Co.,,American International Group,USA,New York,US0268747849,financial services,publicly traded,insurance,NYSE: AIG,,,,,,Kansas,,https://insurance.ks.gov/department/LegalIssues/orders/2000/NewHampshire.pdf,,,,,consumer-protection-related offenses,,,American International Group,10375,2351230555,10/20/2000,insurance violation,,,,,0
2000,State,agency action,Kansas Insurance Department,state,10375,AIG,,civil,"National Union Fire Insurance Company of Pittsburgh, Pennsylvania",,American International Group,USA,New York,US0268747849,financial services,publicly traded,insurance,NYSE: AIG,,,,,,Kansas,,https://insurance.ks.gov/department/LegalIssues/orders/2000/NatlUnionFire.pdf,,,,,consumer-protection-related offenses,,,American International Group,10375,2351230555,10/20/2000,insurance violation,,,,,0
2000,State,agency action,Massachusetts Division of Insurance,state,26208,Nationwide,,civil,Scottsdale Insurance Company,,Nationwide,USA,Ohio,,financial services,mutual,insurance,,,,,,,Massachusetts,,https://www.mass.gov/service-details/year-2000-administrative-actions-january-to-march,,,,"Link is to summary of Order, suspended or shared liability for penalties not available.",consumer-protection-related offenses,,,Nationwide,26208,2351230555,1/19/2000,insurance violation,,,,,0
2000,State,agency action,Massachusetts Division of Insurance,state,6500,Nationwide,,civil,National Casualty Company,,Nationwide,USA,Ohio,,financial services,mutual,insurance,,,,,,,Massachusetts,,https://www.mass.gov/service-details/year-2000-administrative-actions-april-to-june,,,,"Link is to summary of Order, suspended or shared liability for penalties not available.",consumer-protection-related offenses,,,Nationwide,6500,2351230555,6/1/2000,insurance violation,,,,,0
2000,State,agency action,Massachusetts Division of Insurance,state,7040,Tokio Marine,,civil,Philadelphia Indemnity Insurance Company,,Tokio Marine,Japan,,JP3910660004,financial services,publicly traded,insurance,,,,,,,Massachusetts,,https://www.mass.gov/service-details/year-2000-administrative-actions-july-to-september,,,,"Link is to summary of Order, suspended or shared liability for penalties not available.",consumer-protection-related offenses,,,Philadelphia Consolidation,7040,2351230555,7/21/2000,insurance violation,,,Tokio Marine acquired Philadelphia Consolidated in 2008,,0
2000,State,agency action,Maine Bureau of Insurance,state,6000,Mutual of Omaha,,civil,United of Omaha Life Insurance Co.,,Mutual of Omaha,USA,Nebraska,,financial services,mutual,insurance,,,,,,,Maine,,https://www.maine.gov/pfr/insurance/legal/administrative_actions/licensee-discipline_consent-agreements/2000-2004/pdf/00-3001.pdf,,,,The copy of the Order available on agency webpage is undated,consumer-protection-related offenses,,,Mutual of Omaha,6000,2351230555,1/1/2000,insurance violation,,,,,0
2000,State,agency action,Minnesota Department of Commerce,state,25000,Liberty Mutual Insurance,,civil,Indiana Insurance Co.,,Liberty Mutual Insurance,USA,Massachusetts,,financial services,mutual,insurance,,,,,,,Minnesota,,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={EC4A98D5-F8F1-4E36-B624-ED4A9841AD11},,,,,consumer-protection-related offenses,,,Liberty Mutual Insurance,25000,2351230555,5/26/2000,insurance violation,,,,,0
2000,State,agency action,Minnesota Department of Commerce,state,15000,Auto-Owners Insurance,,civil,Auto-Owners Insurance Co.,,Auto-Owners Insurance,USA,Michigan,,financial services,mutual,insurance,,,,,,,Minnesota,,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={1762C8C9-784D-49FC-9B4C-21EB2AA52217},,,,,consumer-protection-related offenses,,,Auto-Owners Insurance,15000,2351230555,12/29/2000,insurance violation,,,,,0
2000,State,agency action,North Carolina Department of Insurance,state,80000,Unum,,civil,Provident Life and Accident Insurance Co.,,Unum,USA,Tennessee,US91529Y1064,financial services,publicly traded,insurance,UNM,,,,,,North Carolina,,"NORTH CAROLINA FINES PROVIDENT LIFE & ACCIDENT $80,000, Bestwire, August 15, 2000 (via Nexis).",,,,,consumer-protection-related offenses,,,Unum,80000,2351230555,8/15/2000,insurance violation,,,,,0
2000,State,agency action,New York Department of Financial Services,state,250000,Guardian Life Insurance,,civil,Guardian Life Insurance Company of America,,Guardian Life Insurance,USA,New York,,financial services,mutual,insurance,,,,,,,New York,,"N.Y. REGULATORS FINE GUARDIAN LIFE $250,000, Bestwire, January 7, 2000 (via Nexis). ",,,,At the time of this case the agency was known as the New York Insurance Department.,consumer-protection-related offenses,,,Guardian Life Insurance,250000,2351230555,1/7/2000,insurance violation,,,,,0
2000,State,agency action,Oregon Division of Financial Regulation,state,10000,Nationwide,,civil,Nationwide Mutual Insurance Company,,Nationwide,USA,Ohio,,financial services,mutual,insurance,,,,,,,Oregon,,https://dfr.oregon.gov/AdminOrders/actions_2000/insurer_2000/marketplace_2000/00-01-018.pdf,,,,,consumer-protection-related offenses,,,Nationwide,10000,2351230555,3/1/2000,insurance violation,,,,,0
2000,State,agency action,South Carolina Department of Insurance,state,5000,BofA,,civil,Merrill Lynch Life Insurance Company,,Bank of America,USA,North Carolina,US0605051046,financial services,publicly traded,banking,NYSE: BAC,,,,,,South Carolina,,https://doi.sc.gov/DocumentCenter/View/6728/Merrill-Lynch-Life-Insurance-Company,,,,,consumer-protection-related offenses,,,Merrill Lynch,5000,2351230555,3/8/2000,insurance violation,,,Bank of America acquired Merrill Lynch in 2009,,0
2000,State,agency action,South Carolina Department of Insurance,state,10000,Travelers,,civil,Standard Fire Insurance Company,,Travelers,USA,New York,US89417E1091,financial services,publicly traded,insurance,TRV,,,,,,South Carolina,,https://doi.sc.gov/DocumentCenter/View/6836/Standard-Fire-Insurance-Company,,,,,consumer-protection-related offenses,,,Citigroup,10000,2351230555,3/16/2000,insurance violation,,,"In 2004, after it was spun off by Citigroup, Travelers Property Casualty merged with St. Paul Companies to form what was originally called St. Paul Travelers and was later renamed Travelers",,0
2000,State,agency action,Texas Department of Insurance,state,11000000,Zurich,,civil,Mid-Century Insurance Co. of Texas,,Zurich Insurance,Switzerland,,CH0011075394,financial services,publicly traded,insurance,,"The largest Texas auto insurance carrier in the Farmers Insurance Group agreed to refunding approximately $11 million in premium overcharges to 800,000 Texas policyholders and reduce its current rates by 3 percent.",,,,,Texas,,"FARMERS REFUNDS $11 MILLION IN TEXAS, BestWire, March 7, 2000 (via Nexis).",,,,,consumer-protection-related offenses,,,Zurich Insurance,11000000,2351230555,3/7/2000,insurance violation,,,,,0
2000,State,agency action,Texas State Securities Board,state,9000,Ameriprise,,civil,American Express Financial Advisors Inc.,,Ameriprise Financial,USA,Minnesota,US03076C1062,financial services,publicly traded,financial services,AMP,,,,,,Texas,,https://www.ssb.texas.gov/sites/default/files/files/news/1402.pdf,,,,,financial offenses,,,American Express,9000,80991516314,8/24/2000,investor protection violation,,,In 2005 American Express spun off its financial advisory business as Amerprise Financial,,0
2000,State,agency action,Washington State Office of the Insurance Commissioner,state,100000,Principal Financial,,civil,Principal Life Insurance Co.,,Principal Financial,USA,Iowa,US74251V1026,financial services,publicly traded,insurance,PFG,,,,,,Washington,,"PRINCIPAL LIFE PAYS $100,000 FINE LEVIED IN WASHINGTON STATE, BestWire, December 11, 2000 (via Nexis).",,,,,consumer-protection-related offenses,,,Principal Financial,100000,2351230555,12/11/2000,insurance violation,,,,,0
2000,State,agency action,Washington State Office of the Insurance Commissioner,state,350000,Western & Southern Financial Group,,civil,Gerber Life Insurance Co.,,Western & Southern Financial Group,USA,Ohio,,financial services,mutual,insurance,,,,,,,Washington,,"GERBER LIFE PAID $150,000 FINE FOR ILLEGALLY RAISING RATES, BestWire, April 20, 2000 (via Nexis).",,,,,consumer-protection-related offenses,,,Novartis,350000,2351230555,4/20/2000,insurance violation,,,"In 2007 Gerber Life was bought by Nestle, which sold it to Western & Southern in 2019",,0
2000,State,agency action,Wisconsin Office of the Commissioner of Insurance,state,100000,AIG,,civil,"AIG Warranty Guard, Inc.",,American International Group,USA,New York,US0268747849,financial services,publicly traded,insurance,NYSE: AIG,,,,,,Wisconsin,,https://ociaccess.oci.wi.gov/orders/99c26203.pdf,,,,,consumer-protection-related offenses,,,American International Group,100000,2351230555,2/1/2000,insurance violation,,,,,0
